Name,Type,Duration,Cooldown,Description,Prerequisites
Aim,Free,0,,Make a basic ranged attack with a weapon.,""
Careful Aim,Basic,0,3,Increase the accuracy of ranged attacks by 3,Finesse
Steady Aim,Upgrade,,,"If a character takes no movement in a turn, the accuracy of ranged attacks is increased by 2, this bonus stacks with other bonuses from skills",Careful Aim
Sniper,Upgrade,,,Improves the accuracy bonus granted by Steady Aim to 4,Steady Aim
Crippling Shot,Advanced,3,5,"Make a basic attack with 1 called effect from the following list: Slow (-1), Paralyze (-3), Disarm (-5). Each is associated with a penalty to the attack pool. You must declare the effect before rolling to hit. If the attack is a hit, you apply the effect instead of dealing damage. The effect applied lasts for the duration of this skill.",Sniper
Deadeye,Instant,3,5,Add 5 stacks of Deadeye. Stacks last for 3 Turns (until skill duration ends). A character may use a stack of Deadeye to recieve a +1 bonus on an aim check.,"Finesse, Level 8"
Gun-Juggler,"Upgrade",3,5,Stacks of Deadeye may be used to make an additional attack with a Pistol or Revolver.,"Finesse, Level 8"
Showdown,Defining,3,5,"Each time an attack deals damage, gain a stack of Deadeye. All stacks of Deadeye are removed when this skill enters cooldown. ","Deadeye, Gun-Juggler"
Overwatch,Basic,1,3,"Choose either an action or an area. The first time an enemy or neutral character takes the action or enters the area before the start of your next turn, you may make a basic attack against them if you are able. An area is considered a cone which extends from the character up to the current weapon range (+- 45 degrees from a selected point). ",
Spray and Pray,Basic,0,3,"As part of a move action, you may make as many attacks as your weapon allows. You may not use your action to make any additional attack actions (any action which rolls an accuracy pool). Take a -2 penalty to your accuracy pool when using this skill.",Level 3
Itchy Trigger Finger,Advanced,,,"When weilding a rapid weapon, increase it's rapid number by 1.",Spray and Pray
Steady Hands,Passive,,,Recoil from weapons is reduced by 1.,Itchy Trigger Finger
Bulletstorm,Defining,3,8,"For each ranged attack you make, select a second target within 2 spaces. Make the attack against that target as well. The attacks are identical, any modifications appled to the first also apply to the second.",
Called-shot,Basic,1,3,"When you use this action, the first attack made on your next turn recieves +5 accuracy.",Finesse
Penetrating Shot,Upgrade,,,"When you use Called shot, reduce targets armor value by 5 for the first attack. This cannot reduce armor below zero.",Called-shot
Strike,Free,0,,Make a basic melee attack with a weapon.,
Ready Strike,Basic,1,3,When a character spends movement adjacent to you during the duration of this skill you may choose to make a basic attack. You may only make one such attack until the start of your next turn.,
Aid,Free,0,,You may use your action to restore 1 health to an adjacent ally.,
Cauterize,Basic,0,3,"Use your weapon to heal an ally. The range of this skill is equal to the range of your current weapon. The power of this skill is equal to half the damage of your currently equiped weapon, rounded down, with a minimum healing power of 1. If your weapon is rapid, you may multiply the healing effect by the rapid number minus any recoil incurred. ",Aid
Defribulating Round,Basic,0,5,You may revive an ally at range equal to your currently equiped weapon. The ally regains health from zero equal to the damage of your currenty equiped weapon.,Cauterize
Fortify,Basic,3,5,Gain 2 armor. Effect ends if movement is spent or skill duration ends.,
Hasten,Basic,0,3,Using your action you may double the movement of any target for one turn.,
Summon Minion (Small),Basic,,5,"Summon a minion to pull levers, pickup items, and deliver effects. The minion performs one action or moves on your turn. The number of minions is capped at 1. You cannot use Summon minion if you currently have minions equal to your cap. When you take this skill choose one minion from the small minion list and note it next to this skill. That is the minion you may summon. You may take this skill multiple times to summon a variety of minions. When you summon a minion, you gain stacks of obedience equal to your obediance cap (3). When you have zero obediance remaining your minion either is exhausted or ignoring your commands. Minions may move for free, but can only take actions when you spend obediance. Stacks of obediance deplete at a rate of 1 on any turn when you do not spend obediance. You may dismiss a minion at the beginning of your turn to free up a minion slot.",
Summon Ally,Upgrade,,,"Your obediance cap becomes 6, and you may select minions from the medium minion list.","Summon Minion, Level 5"
"Summon Patron",Upgrade,,,"Your obediance cap becomes 9, and you may select minions from the large minion list.","Summon Ally, Level 8"
Minion Strike,Upgrade,,,A minion may make an attack as an action with accuracy 5 and damage 2 when you spend 1 obediance.,Summon Minion
Minion Bounce,Upgrade,,,"When a minion makes a melee attack, it may then move up to half it's speed when you spend 1 obediance.",Minion Strike
Minion Chain,Upgrade,,,"Whenever a minion attacks and hits with a melee attack, you may spend 1 obediance, if you do it may move up to it's speed and attack again.","Minion Bounce, Level 5"
Minion Element,Upgrade,,,You may spend 1 obediance to increase the next minion's attack's element number by 3 (if they would have an elemental effect),Minion Strike
"Igneous Minion",Upgrade,,,Minion attacks may be considered Fire-Typed (declare before rolling to attack),Minion Element
"Charged Minion",Upgrade,,,Minion attacks may be considered Shock-Typed (declare before rolling to attack),Minion Element
Alkaline Minion,Upgrade,,,Minion attacks may be considered Caustic-Typed (declare before rolling to attack),Minion Element
Frosted Minion,Upgrade,,,Minion attacks may be considered Cryo-Typed attacks (declare before rolling to attack),Minion Element
Slagging Minion,Upgrade,,,Minion attacks may be considered Slag-Typed attacks (declare before rolling to attack),Minion Element
Minion Prime,Upgrade,,,"One minion you summon may be desegnated Prime. Prime Minions receive +3 accuracy pool, +2 damage, +3 elemental number.","Minion Strike, Level 8"
Careful Minion,Upgrade,,,Minion accuracy increases by 5,"Minion Strike, Level 5"
Deadly Minion,Upgrade,,,Minion attack damage increases by 3,"Minion Strike, Level 5"
Beastmaster,"Defining",,,You may spend 3 obediance to tame 1 beast-typed creature. Tamed creatures count towards your minion cap and revert to their initial state when you run out of obediance.,"Summon Minion, Level 5"
Menagerie,Upgrade,,,Your minion cap improves to 3.,"Summon Minion, Level 5"
Synergistic Link,Upgrade,1,3,You may use an action to cause your minion to take an immediate action without spending obediance.,"Summon Minion, Level 3"
Bulk,Passive,,,Gain 6 Hitpoints,
Toughness,Passive,,,Gain 6 Hitpoints,Bulk
Musclebound,Basic,3,5,"All damage taken is halved. Heal 3 hitpoints at the end of your turn. This effect ends if movement is taken while active.",Toughness
Bastion,Upgrade,,,Bulk and Toughness Grant 12 hitpoints instead of 6.,Bulk
Diehard,Passive,,,"When you are downed, you may either move 1 space, or make a basic attack.",
Iron Church,Advanced,,,"Bulk and Toughness Grant 24 hitpoints instead of 6. At the start of each combat you gain 5 stacks of Iron. Each stack of Iron grants +1 dmg to melee attacks. Lose a stack of iron if you take damage during a turn (immediately, the first time you take damage). ",Bastion
Flex,"Upgrade",0,3,"You may spend stacks of Iron to Flex. All creatures in a burst of radius 1 become blinded and slowed. For each stack of Iron you spend, increase the radius by 1. ",Iron Church
One handed Wonder,Passive,,,"Smgs, and Assault Rifles may be used in one hand",Bulk
Gunzerking,Defining,3,5,"You may immediately equip a second Pistol, Revolve, Smg, or Assault Rifle. Both equipped weapons may be used in an attack at half accuracy.",One handed Wonder
Rage,Basic,,5,"Gain 3 stacks of rage. Lose one stack of rage at the end of your turn. While you have at least one stack of rage your accuracy pools are reduced by 2, but your melee attacks do +4 damage. And you ignore the first 2 points of damage applied to your health each turn. While raging you cannot use proficiencies, and every enemy is considered aware of you.",Toughness
"Unignorable",Upgrade,,,"When raging, enemies must target you. Ignore the first 8 points of damage received per turn, instead of 2.",Rage
Unstoppable,Upgrade,,,"You may spend a stack of rage to deal +4 damage to any melee attack. ",Rage
Unbreakable,Upgrade,,,"You may spend a stack of rage to ignore all damage taken this turn.",Rage
"Hell hath no Fury",Upgrade,,,"When using rage, gain an additional 5 stacks of rage.","Rage, Level 8"
Juggernaut,Defining,3,8,"Ignore all incoming damage while active. Instead every 2 points of damage gives you a stack of fatigue. Each stack of fatigue reduces your movment by 1. Stacks of fatigue are removed at the end of your turn. While active, you recieve +4 to accuracy and +6 to damage when performing a melee attack.","Unbreakable, Rage, Level 8"
Tackle,Basic,0,3,"Use this skill only on a turn when you move in a straight line. Make a melee attack. For each space moved this turn, receive +1 to the damage of that attack.",
Bullrush,Upgrade,,,"When tackle is used, you may push move the target up to half the distance you moved this turn in the direction of your movement.",Tackle
